lat,lon,sz,names,len_cat
-37.8506384,144.9841006,2,High Street (678),a
-37.8506384,144.9841006,2,High Street (865),a
-37.8506304,144.984039,2,High Street (231),a
-37.8506304,144.984039,2,High Street (899),a
-37.8505261,144.9832363,2,High Street (230),a
-37.8505261,144.9832363,2,High Street (232),a
-37.8505261,144.9832363,2,High Street (342),a
-37.8505261,144.9832363,2,High Street (898),a
-37.850386,144.9821233,2,High Street (151),a
-37.850386,144.9821233,2,High Street (341),a
-37.850386,144.9821233,2,High Street (896),a
-37.8502465,144.981016,2,High Street (150),a
-37.8502465,144.981016,2,High Street (895),a
-37.8502433,144.9808827,2,St Kilda Road (648),a
-37.8502433,144.9808827,2,St Kilda Road (683),a
-37.8502421,144.9809802,2,High Street (677),a
-37.8502421,144.9809802,2,High Street (864),a
-37.8502351,144.980924,2,High Street (822),a
-37.8502351,144.980924,2,High Street (859),a
-37.8502293,144.9808776,2,High Street (149),a
-37.8502293,144.9808776,2,High Street (340),a
-37.8502293,144.9808776,2,High Street (894),a
-37.8502293,144.9808776,2,St Kilda Road (051),a
-37.8502293,144.9808776,2,St Kilda Road (647),a
-37.8502293,144.9808776,2,St Kilda Road (807),a
-37.850224,144.9807685,2,High Street (361),a
-37.850224,144.9807685,2,High Street (845),a
-37.8502238,144.9807337,2,High Street (161),a
-37.8502238,144.9807337,2,High Street (360),a
-37.8502238,144.9807337,2,High Street (844),a
-37.8502238,144.9807337,2,High Street (890),a
-37.8502238,144.9807337,2,St Kilda Road (149),a
-37.8502238,144.9807337,2,St Kilda Road (227),a
-37.8502238,144.9807337,2,St Kilda Road (760),a
-37.8502238,144.9807337,2,St Kilda Road (887),a
-37.8502115,144.9808711,2,St Kilda Road (096),a
-37.8502115,144.9808711,2,St Kilda Road (271),a
-37.8502083,144.9807286,2,St Kilda Road (497),a
-37.8502083,144.9807286,2,St Kilda Road (759),a
-37.8501912,144.9808636,2,St Kilda Road (050),a
-37.8501912,144.9808636,2,St Kilda Road (213),a
