,lat,lon,sz,names,len_cat
0,36.1457838,-5.3404726,2,Eastern Beach Road (257),a
1,36.1463976,-5.3404238,2,Eastern Beach Road (258),a
2,36.1482201,-5.3401859,2,Eastern Beach Road (263),a
3,36.1480443,-5.3402118,2,Eastern Beach Road (262),a
4,36.1434938,-5.3399965,2,Sir Herbert Road (428),a
5,36.1453727,-5.3411806,2,Eastern Beach Road (247),a
6,36.1453438,-5.341245,2,Eastern Beach Road (241),a
7,36.1435415,-5.3410336,2,Williams way (319),a
8,36.144824,-5.3409537,2,Sir Herbert Road (419),a
9,36.1447173,-5.3408672,2,Sir Herbert Road (420),a
10,36.1441363,-5.3403703,2,Sir Herbert Road (421),a
11,36.1441153,-5.3403524,2,Sir Herbert Road (422),a
12,36.145635,-5.3406076,2,Eastern Beach Road (254),a
13,36.1456669,-5.3405597,2,Eastern Beach Road (255),a
14,36.1439994,-5.3402569,2,Sir Herbert Road (423),a
15,36.1438964,-5.340178,2,Sir Herbert Road (424),a
16,36.1438017,-5.3401179,2,Sir Herbert Road (425),a
17,36.1437015,-5.3400674,2,Sir Herbert Road (426),a
18,36.1436013,-5.3400291,2,Sir Herbert Road (427),a
19,36.1433673,-5.33997,2,Sir Herbert Road (429),a
20,36.143236,-5.3399516,2,Sir Herbert Road (430),a
21,36.1434276,-5.3407308,2,Williams way (318),a
22,36.1453919,-5.3411377,2,Eastern Beach Road (248),a
23,36.1457173,-5.3405038,2,Eastern Beach Road (256),a
24,36.1468555,-5.3403874,2,Eastern Beach Road (259),a
25,36.147421,-5.3403187,2,Eastern Beach Road (261),a
26,36.1455928,-5.3406792,2,Eastern Beach Road (253),a
27,36.1452845,-5.3413775,2,Sir Herbert Road (417),a
28,36.1452845,-5.3413775,2,Eastern Beach Road (249),a
29,36.1468854,-5.340385,2,Eastern Beach Road (260),a
30,36.1486846,-5.340126,2,Eastern Beach Road (264),a
31,36.1451528,-5.341261,2,Sir Herbert Road (418),a
32,36.1455457,-5.3407943,2,Eastern Beach Road (246),a
33,36.154168,-5.3474489,2,Taxis Only (918),a
34,36.1473823,-5.3452366,2,Devil's Tower Road (432),a
35,36.1462886,-5.3425168,2,Devil's Tower Road (449),a
36,36.1471642,-5.344573,2,Garrod Road (394),a
37,36.1537289,-5.3473754,2,Taxis Only (922),a
38,36.1536201,-5.3484601,2,Winston Churchill Avenue (239),a
39,36.1460868,-5.3504287,2,Sortie Road (716),a
40,36.1478856,-5.3467572,2,Forbes Road (334),a
41,36.1460862,-5.3506059,2,Sortie Road (714),a
42,36.1479584,-5.3501917,2,St. Anne's Road (027),a
43,36.1472445,-5.3422901,2,Halifax Road (285),a
44,36.1462465,-5.3441763,2,Garrod Road (366),a
45,36.1462379,-5.3441468,2,Garrod Road (368),a
46,36.1539807,-5.3484296,2,Winston Churchill Avenue (871),a
47,36.1478203,-5.343636,2,Halifax Road (273),a
48,36.1477951,-5.3454051,2,Halifax Road (278),a
